,,,600 rpm at 10 deg initial deflecion,
,,,Time ,Angle
7.93664,2.6367,,5.40009,-2.6367
7.96567,2.6367,,5.42912,-2.6367
7.99044,2.6367,,5.45389,-2.6367
8.0155,2.6367,,5.47895,-2.6367
8.03716,2.6367,,5.50061,-2.6367
8.06858,2.6367,,5.53203,-2.6367
8.0914,2.6367,,5.55485,-2.6367
8.11975,2.6367,,5.5832,-2.6367
8.137,2.6367,,5.60045,-2.6367
8.17044,2.6367,,5.63389,-2.6367
8.19681,2.5488,,5.66026,-2.5488
8.22169,2.6367,,5.68514,-2.6367
8.24809,2.6367,,5.71154,-2.6367
8.27208,2.6367,,5.73553,-2.6367
8.29956,2.6367,,5.76301,-2.6367
8.32127,2.6367,,5.78472,-2.6367
8.3513,2.6367,,5.81475,-2.6367
8.37316,2.6367,,5.83661,-2.6367
8.39935,2.6367,,5.8628,-2.6367
8.42881,2.6367,,5.89226,-2.6367
8.45337,2.6367,,5.91682,-2.6367
8.48001,2.6367,,5.94346,-2.6367
8.50504,2.6367,,5.96849,-2.6367
8.53083,2.6367,,5.99428,-2.6367
8.55425,2.6367,,6.0177,-2.6367
